country,year,rgdpo,pop,rnna,labsh,delta,savings_rate
Japan,1950,268970,86,914237,1,0,N/A
Japan,1951,297181,87,962466,1,0,N/A
Japan,1952,327725,88,998158,1,0,N/A
Japan,1953,342695,90,1030682,1,0,N/A
Japan,1954,360660,91,1071135,1,0,N/A
Japan,1955,389107,92,1122652,1,0,N/A
Japan,1956,415421,93,1186485,1,0,N/A
Japan,1957,444202,94,1269720,1,0,N/A
Japan,1958,476643,94,1349985,1,0,N/A
Japan,1959,520894,95,1450256,1,0,N/A
Japan,1960,586324,96,1594798,1,0,N/A
Japan,1961,649700,97,1780165,1,0,N/A
Japan,1962,712042,98,1975240,1,0,N/A
Japan,1963,770893,99,2191594,1,0,N/A
Japan,1964,857327,100,2445867,1,0,N/A
Japan,1965,910595,101,2701312,1,0,N/A
Japan,1966,1003626,102,2993805,1,0,N/A
Japan,1967,1106735,103,3355751,1,0,N/A
Japan,1968,1245203,104,3800412,1,0,N/A
Japan,1969,1396144,106,4324171,1,0,N/A
Japan,1970,1539076,107,4946292,1,0,N/A
Japan,1971,1633065,108,5565740,1,0,N/A
Japan,1972,1781101,109,6228238,1,0,N/A
Japan,1973,1923404,111,6950573,1,0,N/A
Japan,1974,1912608,112,7544953,1,0,N/A
Japan,1975,2005686,113,8109967,1,0,N/A
Japan,1976,2140760,115,8684773,1,0,35.39282485
Japan,1977,2288073,116,9251136,1,0,35.25913563
Japan,1978,2460842,117,9869457,1,0,35.47443191
Japan,1979,2625492,118,10512650,1,0,34.50819673
Japan,1980,2778892,118,11087465,1,0,34.23539661
Japan,1981,2771451,119,11661513,1,0,34.6110695
Japan,1982,2730069,119,12206848,1,0,33.39076895
Japan,1983,2694771,120,12716322,1,0,32.96181704
Japan,1984,2713529,120,13244571,1,0,33.71882191
Japan,1985,2794807,121,13826276,1,0,34.35379396
Japan,1986,3048767,121,14438253,1,0,34.76149118
Japan,1987,3261693,122,15114087,1,0,34.77572715
Japan,1988,3592051,122,15918733,1,0,35.97131965
Japan,1989,3864531,123,16801428,1,0,36.18835317
Japan,1990,4169953,123,17753778,1,0,36.21605779
Japan,1991,4444148,124,18690502,1,0,36.68458824
Japan,1992,4614489,124,19540490,1,0,35.55573098
Japan,1993,4765193,125,20300046,1,0,33.87283354
Japan,1994,4833149,125,21011250,1,0,32.52185633
Japan,1995,5106124,126,21740976,1,0,32.17644865
Japan,1996,5384902,126,22544372,1,0,32.40455215
Japan,1997,5387732,126,23267166,1,0,32.09424641
Japan,1998,5298996,127,23885494,1,0,31.33524971
Japan,1999,5279276,127,24457658,1,0,29.6858806
Japan,2000,5425813,127,25005568,1,0,29.78205614
Japan,2001,5389145,127,25493442,1,0,28.34895032
Japan,2002,5400706,127,25875438,1,0,27.16262834
Japan,2003,5479777,128,26226804,1,0,27.26642398
Japan,2004,5612612,128,26562598,1,0,27.54638309
Japan,2005,5747211,128,26921680,1,0,27.45416285
Japan,2006,5809891,128,27265270,1,0,27.3759077
Japan,2007,5911260,128,27554710,1,0,27.53039831
Japan,2008,5801058,128,27765272,1,0,26.21117123
Japan,2009,5478417,128,27817134,1,0,23.05214144
Japan,2010,5740071,128,27857126,1,0,23.92885811
Japan,2011,5674082,128,27924010,1,0,22.89453248
Japan,2012,5668171,128,28024686,1,0,22.36354805
Japan,2013,5675223,128,28176042,1,0,22.00716885
Japan,2014,5580816,127,28352516,1,0,22.44223812
Japan,2015,5744858,127,28550418,1,0,24.6114592
Japan,2016,5660493,127,28752612,1,0,25.64127057
Japan,2017,5629774,127,28970244,1,0,25.97449161
Japan,2018,5557012,127,29188046,1,0,25.6616737
Japan,2019,5538041,127,29401234,1,0,25.50031295
Japan,2020,5301859,126,29553106,1,0,24.95517432
Japan,2021,5380122,126,29706136,1,0,25.30466852
Japan,2022,5390745,125,29845872,1,0,23.05543562
Japan,2023,5505348,124,29998940,1,0,24.73448356
