iso3,Country,year,delta,labsh,pop,rgdpo,rnna,savings_rate
JPN,Japan,1976,0.033832517,0.617358685,114.502795,2140760.25,8684773,35.39282485
JPN,Japan,1977,0.033520691,0.620946467,115.574277,2288072.75,9251136,35.25913563
JPN,Japan,1978,0.033336669,0.611576915,116.576944,2460841.75,9869457,35.47443191
JPN,Japan,1979,0.033327624,0.607692361,117.521556,2625492,10512650,34.50819673
JPN,Japan,1980,0.033443194,0.609879375,118.358756,2778892,11087465,34.23539661
JPN,Japan,1981,0.033580158,0.61152631,118.994053,2771451,11661513,34.6110695
JPN,Japan,1982,0.03367975,0.613018632,119.485775,2730068.75,12206848,33.39076895
JPN,Japan,1983,0.033751681,0.615773201,119.948947,2694770.75,12716322,32.96181704
JPN,Japan,1984,0.033893403,0.606810391,120.384394,2713529,13244571,33.71882191
JPN,Japan,1985,0.034141302,0.595854163,120.832163,2794807.25,13826276,34.35379396
JPN,Japan,1986,0.034414373,0.588725865,121.366735,3048766.75,14438253,34.76149118
JPN,Japan,1987,0.034676291,0.581005037,121.943587,3261692.5,15114087,34.77572715
JPN,Japan,1988,0.035078265,0.571993291,122.476952,3592050.75,15918733,35.97131965
JPN,Japan,1989,0.035689007,0.568913221,122.947413,3864530.75,16801428,36.18835317
JPN,Japan,1990,0.036369722,0.564595759,123.399765,4169953.25,17753778,36.21605779
JPN,Japan,1991,0.037012484,0.57261318,123.889871,4444147.5,18690502,36.68458824
JPN,Japan,1992,0.037515666,0.580655277,124.383708,4614489,19540490,35.55573098
JPN,Japan,1993,0.037785724,0.586970508,124.839958,4765192.5,20300046,33.87283354
JPN,Japan,1994,0.037871137,0.594818592,125.28686,4833148.5,21011250,32.52185633
JPN,Japan,1995,0.037936818,0.589223385,125.672665,5106124,21740976,32.17644865
JPN,Japan,1996,0.038061243,0.580601931,125.975302,5384901.5,22544372,32.40455215
JPN,Japan,1997,0.038239613,0.58703357,126.265929,5387732,23267166,32.09424641
JPN,Japan,1998,0.038401391,0.588018537,126.549181,5298995.5,23885494,31.33524971
JPN,Japan,1999,0.038495798,0.58322525,126.801564,5279276,24457658,29.6858806
JPN,Japan,2000,0.03859102,0.573852301,127.027789,5425812.5,25005568,29.78205614
JPN,Japan,2001,0.038717706,0.572087109,127.260148,5389144.5,25493442,28.34895032
JPN,Japan,2002,0.03880357,0.557095766,127.484598,5400705.5,25875438,27.16262834
JPN,Japan,2003,0.038854394,0.550133348,127.671251,5479776.5,26226804,27.26642398
JPN,Japan,2004,0.038945779,0.543767869,127.815774,5612612,26562598,27.54638309
JPN,Japan,2005,0.039134111,0.546317756,127.91333,5747211,26921680,27.45416285
JPN,Japan,2006,0.039395295,0.551968217,127.997247,5809891,27265270,27.3759077
JPN,Japan,2007,0.039680623,0.548989594,128.087682,5911259.5,27554710,27.53039831
JPN,Japan,2008,0.039943926,0.560106575,128.15599,5801057.5,27765272,26.21117123
JPN,Japan,2009,0.039982386,0.570272446,128.19247,5478416.5,27817134,23.05214144
JPN,Japan,2010,0.039872807,0.551162243,128.185275,5740071,27857126,23.92885811
JPN,Japan,2011,0.039794341,0.561342478,128.096432,5674082,27924010,22.89453248
JPN,Japan,2012,0.039783824,0.559131205,127.928285,5668170.5,28024686,22.36354805
JPN,Japan,2013,0.039845433,0.553324938,127.723645,5675222.5,28176042,22.00716885
JPN,Japan,2014,0.039971136,0.555949867,127.486605,5580816,28352516,22.44223812
JPN,Japan,2015,0.040183712,0.545553267,127.275872,5744858,28550418,24.6114592
JPN,Japan,2016,0.040366702,0.552027106,127.159951,5660493,28752612,25.64127057
JPN,Japan,2017,0.040517103,0.55224973,127.06469,5629773.5,28970244,25.97449161
JPN,Japan,2018,0.040715348,0.563811123,126.913432,5557011.5,29188046,25.6616737
JPN,Japan,2019,0.040942058,0.574065268,126.699424,5538041,29401234,25.50031295
JPN,Japan,2020,0.041088663,0.587774456,126.304543,5301858.5,29553106,24.95517432
JPN,Japan,2021,0.041191909,0.585427046,125.679338,5380121.5,29706136,25.30466852
JPN,Japan,2022,0.041382078,0.587487876,124.997578,5390744.5,29845872,23.05543562
JPN,Japan,2023,0.041639891,0.587487876,124.370947,5505348,29998940,24.73448356
